dataset_iri,dataset_id,title,provider,description,spatial,modified,page,periodicity,start,end,keywords_all
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Chomutov_a_jeho_obce,ps2017CZ0422,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Chomutov a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3503,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Chomutov"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Chrudim_a_jeho_obce,ps2017CZ0531,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Chrudim a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3603,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Chrudim"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Domazlice_a_jeho_obce,ps2017CZ0321,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Domažlice a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3401,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Domažlice"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Decin_a_jeho_obce,ps2017CZ0421,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Děčín a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3502,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Děčín"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Frydek_Mistek_a_jeho_obce,ps2017CZ0802,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Frýdek-Místek a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3802,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Frýdek-Místek"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Havlickuv_Brod_a_jeho_obce,ps2017CZ0631,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Havlíčkův Brod a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3601,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Havlíčkův Brod"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Hodonin_a_jeho_obce,ps2017CZ0645,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Hodonín a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3706,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Hodonín"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Hradec_Kralove_a_jeho_obce,ps2017CZ0521,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Hradec Králové a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3602,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Hradec Králové"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Jablonec_nad_Nisou_a_jeho_obce,ps2017CZ0512,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Jablonec nad Nisou a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3504,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Jablonec nad Nisou"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Jesenik_a_jeho_obce,ps2017CZ0711,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Jeseník a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3811,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Jeseník"
